Parliamentary Constituency 2024 Code,Parliamentary Constituency 2024 Label,Religion - 8 Categories Code,Religion - 8 Categories Label,Count
N05000001,Belfast East,1,Catholic,13111
N05000001,Belfast East,2,Presbyterian Church in Ireland,22990
N05000001,Belfast East,3,Church of Ireland,13826
N05000001,Belfast East,4,Methodist Church in Ireland,5360
N05000001,Belfast East,5,Other Christian (including Christian related),10791
N05000001,Belfast East,6,Other religions,2349
N05000001,Belfast East,7,No religion,32070
N05000001,Belfast East,8,Religion not stated,1781
N05000002,Belfast North,1,Catholic,47822
N05000002,Belfast North,2,Presbyterian Church in Ireland,14845
N05000002,Belfast North,3,Church of Ireland,8908
N05000002,Belfast North,4,Methodist Church in Ireland,3835
N05000002,Belfast North,5,Other Christian (including Christian related),6098
N05000002,Belfast North,6,Other religions,2269
N05000002,Belfast North,7,No religion,20432
N05000002,Belfast North,8,Religion not stated,2280
N05000003,Belfast South and Mid Down,1,Catholic,44328
N05000003,Belfast South and Mid Down,2,Presbyterian Church in Ireland,14239
N05000003,Belfast South and Mid Down,3,Church of Ireland,10097
N05000003,Belfast South and Mid Down,4,Methodist Church in Ireland,2951
N05000003,Belfast South and Mid Down,5,Other Christian (including Christian related),7541
N05000003,Belfast South and Mid Down,6,Other religions,5465
N05000003,Belfast South and Mid Down,7,No religion,32033
N05000003,Belfast South and Mid Down,8,Religion not stated,2895
N05000004,Belfast West,1,Catholic,71640
N05000004,Belfast West,2,Presbyterian Church in Ireland,6977
N05000004,Belfast West,3,Church of Ireland,5920
N05000004,Belfast West,4,Methodist Church in Ireland,1312
N05000004,Belfast West,5,Other Christian (including Christian related),3216
N05000004,Belfast West,6,Other religions,1665
N05000004,Belfast West,7,No religion,10724
N05000004,Belfast West,8,Religion not stated,1722
N05000005,East Antrim,1,Catholic,17065
N05000005,East Antrim,2,Presbyterian Church in Ireland,27896
N05000005,East Antrim,3,Church of Ireland,11851
N05000005,East Antrim,4,Methodist Church in Ireland,4239
N05000005,East Antrim,5,Other Christian (including Christian related),9450
N05000005,East Antrim,6,Other religions,995
N05000005,East Antrim,7,No religion,24117
N05000005,East Antrim,8,Religion not stated,1341
N05000006,East Londonderry,1,Catholic,41106
N05000006,East Londonderry,2,Presbyterian Church in Ireland,21786
N05000006,East Londonderry,3,Church of Ireland,16007
N05000006,East Londonderry,4,Methodist Church in Ireland,863
N05000006,East Londonderry,5,Other Christian (including Christian related),5805
N05000006,East Londonderry,6,Other religions,756
N05000006,East Londonderry,7,No religion,15500
N05000006,East Londonderry,8,Religion not stated,1462
N05000007,Fermanagh and South Tyrone,1,Catholic,64271
N05000007,Fermanagh and South Tyrone,2,Presbyterian Church in Ireland,6610
N05000007,Fermanagh and South Tyrone,3,Church of Ireland,19114
N05000007,Fermanagh and South Tyrone,4,Methodist Church in Ireland,3200
N05000007,Fermanagh and South Tyrone,5,Other Christian (including Christian related),5577
N05000007,Fermanagh and South Tyrone,6,Other religions,997
N05000007,Fermanagh and South Tyrone,7,No religion,10121
N05000007,Fermanagh and South Tyrone,8,Religion not stated,1900
N05000008,Foyle,1,Catholic,69411
N05000008,Foyle,2,Presbyterian Church in Ireland,7113
N05000008,Foyle,3,Church of Ireland,6589
N05000008,Foyle,4,Methodist Church in Ireland,640
N05000008,Foyle,5,Other Christian (including Christian related),1897
N05000008,Foyle,6,Other religions,1033
N05000008,Foyle,7,No religion,9041
N05000008,Foyle,8,Religion not stated,1578
N05000009,Lagan Valley,1,Catholic,23802
N05000009,Lagan Valley,2,Presbyterian Church in Ireland,22569
N05000009,Lagan Valley,3,Church of Ireland,20878
N05000009,Lagan Valley,4,Methodist Church in Ireland,3959
N05000009,Lagan Valley,5,Other Christian (including Christian related),12010
N05000009,Lagan Valley,6,Other religions,1537
N05000009,Lagan Valley,7,No religion,25640
N05000009,Lagan Valley,8,Religion not stated,1615
N05000010,Mid Ulster,1,Catholic,66568
N05000010,Mid Ulster,2,Presbyterian Church in Ireland,10842
N05000010,Mid Ulster,3,Church of Ireland,11634
N05000010,Mid Ulster,4,Methodist Church in Ireland,749
N05000010,Mid Ulster,5,Other Christian (including Christian related),5622
N05000010,Mid Ulster,6,Other religions,570
N05000010,Mid Ulster,7,No religion,7928
N05000010,Mid Ulster,8,Religion not stated,1317
N05000011,Newry and Armagh,1,Catholic,71766
N05000011,Newry and Armagh,2,Presbyterian Church in Ireland,10490
N05000011,Newry and Armagh,3,Church of Ireland,9786
N05000011,Newry and Armagh,4,Methodist Church in Ireland,1139
N05000011,Newry and Armagh,5,Other Christian (including Christian related),5774
N05000011,Newry and Armagh,6,Other religions,911
N05000011,Newry and Armagh,7,No religion,10208
N05000011,Newry and Armagh,8,Religion not stated,1673
N05000012,North Antrim,1,Catholic,28245
N05000012,North Antrim,2,Presbyterian Church in Ireland,32345
N05000012,North Antrim,3,Church of Ireland,11594
N05000012,North Antrim,4,Methodist Church in Ireland,1357
N05000012,North Antrim,5,Other Christian (including Christian related),10875
N05000012,North Antrim,6,Other religions,716
N05000012,North Antrim,7,No religion,16499
N05000012,North Antrim,8,Religion not stated,2201
N05000013,North Down,1,Catholic,10352
N05000013,North Down,2,Presbyterian Church in Ireland,25906
N05000013,North Down,3,Church of Ireland,14124
N05000013,North Down,4,Methodist Church in Ireland,3845
N05000013,North Down,5,Other Christian (including Christian related),8796
N05000013,North Down,6,Other religions,1248
N05000013,North Down,7,No religion,32224
N05000013,North Down,8,Religion not stated,1405
N05000014,South Antrim,1,Catholic,31490
N05000014,South Antrim,2,Presbyterian Church in Ireland,26480
N05000014,South Antrim,3,Church of Ireland,10958
N05000014,South Antrim,4,Methodist Church in Ireland,3218
N05000014,South Antrim,5,Other Christian (including Christian related),8819
N05000014,South Antrim,6,Other religions,1190
N05000014,South Antrim,7,No religion,22892
N05000014,South Antrim,8,Religion not stated,1394
N05000015,South Down,1,Catholic,68036
N05000015,South Down,2,Presbyterian Church in Ireland,13312
N05000015,South Down,3,Church of Ireland,5788
N05000015,South Down,4,Methodist Church in Ireland,376
N05000015,South Down,5,Other Christian (including Christian related),4808
N05000015,South Down,6,Other religions,672
N05000015,South Down,7,No religion,10977
N05000015,South Down,8,Religion not stated,1272
N05000016,Strangford,1,Catholic,20494
N05000016,Strangford,2,Presbyterian Church in Ireland,26837
N05000016,Strangford,3,Church of Ireland,12048
N05000016,Strangford,4,Methodist Church in Ireland,2731
N05000016,Strangford,5,Other Christian (including Christian related),9473
N05000016,Strangford,6,Other religions,949
N05000016,Strangford,7,No religion,24220
N05000016,Strangford,8,Religion not stated,1401
N05000017,Upper Bann,1,Catholic,50007
N05000017,Upper Bann,2,Presbyterian Church in Ireland,13586
N05000017,Upper Bann,3,Church of Ireland,20437
N05000017,Upper Bann,4,Methodist Church in Ireland,3809
N05000017,Upper Bann,5,Other Christian (including Christian related),10890
N05000017,Upper Bann,6,Other religions,1624
N05000017,Upper Bann,7,No religion,19922
N05000017,Upper Bann,8,Religion not stated,1764
N05000018,West Tyrone,1,Catholic,65634
N05000018,West Tyrone,2,Presbyterian Church in Ireland,11278
N05000018,West Tyrone,3,Church of Ireland,10229
N05000018,West Tyrone,4,Methodist Church in Ireland,1144
N05000018,West Tyrone,5,Other Christian (including Christian related),2934
N05000018,West Tyrone,6,Other religions,573
N05000018,West Tyrone,7,No religion,6433
N05000018,West Tyrone,8,Religion not stated,1526
